Designator,Mid X,Mid Y,Rotation,Layer
C1,75.8,-34.6,270.0,top
C10,73.75,-51.5,270.0,top
C11,78.8,-39.05,90.0,top
C12,59.05,-37.15,180.0,top
C13,73.75,-41.15,90.0,top
C14,54.7,-38.45,180.0,top
C15,60.45,-49.25,270.0,top
C16,65.45,-48.85,90.0,top
C17,65.45,-45.15,270.0,top
C18,59.5,-32.75,0.0,top
C19,62.0,-31.55,90.0,top
C2,54.75,-44.2,0.0,top
C3,55.2,-31.9,90.0,top
C4_2,56.7,-31.85,90.0,top
C4,70.15,-51.5,270.0,top
C6,76.45,-46.2,0.0,top
C7,66.45,-47.6,270.0,top
C8,75.9,-49.9,270.0,top
C9,78.825,-46.225,0.0,top
CN1,33.8525,-32.0,270.0,top
CN2,33.8525,-46.55,270.0,top
Card1,68.95,-34.2,180.0,bottom
D1,57.5,-31.0,180.0,bottom
L1,59.65,-34.9,0.0,top
R1,47.0,-39.2,0.0,top
R10,77.5,-39.1,270.0,top
R11,63.2,-40.81,270.0,top
R12,61.35,-42.6,90.0,top
R13,63.5,-42.95,0.0,top
R14,61.9,-44.4,0.0,top
R15,65.45,-47.0,90.0,top
R16,76.5,-47.4,180.0,top
R17,76.5,-48.35,180.0,top
R18,69.85,-32.7,180.0,top
R19,67.9,-32.7,0.0,top
R2,47.0,-47.9,0.0,top
R3,56.5,-29.7,180.0,top
R4,62.05,-29.05,0.0,top
R5,59.82,-28.45,0.0,top
R7,61.99,-41.05,0.0,bottom
R8,75.0,-40.15,90.0,top
R9,64.0,-41.05,0.0,bottom
U1,50.0,-30.4875,180.0,top
U2,77.5,-42.55,270.0,top
U3,70.05,-36.46,270.0,top
U4,57.05,-41.0,90.0,top
U5,57.1,-46.5,90.0,top
U6,71.15,-46.2,270.0,top
U7,59.1525,-30.6725,90.0,top
USB1,69.0,-29.0825,180.0,top
X1,62.85,-48.22,90.0,top
